iter: 1000, accuracy: 0.0182
iter: 2000, accuracy: 0.0144
iter: 3000, accuracy: 0.0294
iter: 4000, accuracy: 0.1102
iter: 5000, accuracy: 0.2643
iter: 6000, accuracy: 0.2702
iter: 7000, accuracy: 0.2577
iter: 8000, accuracy: 0.3743
iter: 9000, accuracy: 0.3327
iter: 10000, accuracy: 0.3457
iter: 11000, accuracy: 0.2315
iter: 12000, accuracy: 0.3944
iter: 13000, accuracy: 0.3312
iter: 14000, accuracy: 0.3940
iter: 15000, accuracy: 0.4001
iter: 16000, accuracy: 0.4312
iter: 17000, accuracy: 0.3772
iter: 18000, accuracy: 0.3599
iter: 19000, accuracy: 0.4226
iter: 20000, accuracy: 0.4426
iter: 21000, accuracy: 0.4675
iter: 22000, accuracy: 0.4983
iter: 23000, accuracy: 0.5979
iter: 24000, accuracy: 0.6031
iter: 25000, accuracy: 0.6042
iter: 26000, accuracy: 0.6000
iter: 27000, accuracy: 0.5977
iter: 28000, accuracy: 0.5967
iter: 29000, accuracy: 0.5912
iter: 30000, accuracy: 0.5880
