iter: 1000, accuracy: 0.0100
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0100
iter: 5000, accuracy: 0.0100
iter: 6000, accuracy: 0.0100
iter: 7000, accuracy: 0.0100
iter: 8000, accuracy: 0.0106
iter: 9000, accuracy: 0.0360
iter: 10000, accuracy: 0.0340
iter: 11000, accuracy: 0.0449
iter: 12000, accuracy: 0.0472
iter: 13000, accuracy: 0.0215
iter: 14000, accuracy: 0.0521
iter: 15000, accuracy: 0.0461
iter: 16000, accuracy: 0.0445
iter: 17000, accuracy: 0.0463
iter: 18000, accuracy: 0.0426
iter: 19000, accuracy: 0.0596
iter: 20000, accuracy: 0.0549
iter: 21000, accuracy: 0.0577
iter: 22000, accuracy: 0.0664
iter: 23000, accuracy: 0.0718
iter: 24000, accuracy: 0.0719
iter: 25000, accuracy: 0.0714
iter: 26000, accuracy: 0.0725
iter: 27000, accuracy: 0.0725
iter: 28000, accuracy: 0.0716
iter: 29000, accuracy: 0.0716
iter: 30000, accuracy: 0.0711
