iter: 1000, accuracy: 0.0103
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0186
iter: 5000, accuracy: 0.0278
iter: 6000, accuracy: 0.1777
iter: 7000, accuracy: 0.2106
iter: 8000, accuracy: 0.2182
iter: 9000, accuracy: 0.1640
iter: 10000, accuracy: 0.1004
iter: 11000, accuracy: 0.1597
iter: 12000, accuracy: 0.2334
iter: 13000, accuracy: 0.1960
iter: 14000, accuracy: 0.1370
iter: 15000, accuracy: 0.1824
iter: 16000, accuracy: 0.3211
iter: 17000, accuracy: 0.3248
iter: 18000, accuracy: 0.3783
iter: 19000, accuracy: 0.3533
iter: 20000, accuracy: 0.3417
iter: 21000, accuracy: 0.2991
iter: 22000, accuracy: 0.2822
iter: 23000, accuracy: 0.4354
iter: 24000, accuracy: 0.4391
iter: 25000, accuracy: 0.4294
iter: 26000, accuracy: 0.4206
iter: 27000, accuracy: 0.4265
iter: 28000, accuracy: 0.4197
iter: 29000, accuracy: 0.4186
iter: 30000, accuracy: 0.4167
